Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             150.820     -7.224         173.550    437.314
N                                 146.144     91.938         120.997    320.449
M                                 226.650    -27.561         178.484    472.018
k1                                389.662    -23.972         243.108    679.497
k2                                167.639     47.293         132.731    338.778
tau1                               81.367      0.422          87.015    220.539
tau2                              298.525     39.010         197.887    547.868
tauAch                            354.478    141.949         177.777    533.200
tauNor                            340.250    -68.421         172.484    526.682
beta                              284.745    163.753         194.265    513.021
h0                                558.810     21.105         239.338    803.521
mNor                              330.686     30.277         216.180    599.516
mAch                              476.153    229.089         250.746    722.951
