Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.377     -5.357         174.380    439.112
N                                 160.935     83.403         127.089    329.477
M                                 229.071    -28.288         181.138    476.688
k1                                383.241    -22.677         230.779    669.704
k2                                168.409     46.116         120.851    335.711
tau1                               80.891      2.997          84.684    218.571
tau2                              294.121     38.984         194.549    540.845
tauAch                            353.710    139.467         176.442    532.431
tauNor                            341.177    -66.679         169.197    527.265
beta                              288.992    168.536         198.332    516.941
h0                                568.173     30.519         239.695    810.105
mNor                              333.219     28.718         212.912    596.783
mAch                              474.970    224.138         239.211    717.708
