Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             121.700    -12.654         150.342    360.632
N                                 115.211     76.409         102.815    256.894
M                                 183.662    -24.228         141.543    384.509
k1                                314.844    -22.925         194.331    556.408
k2                                138.691     44.227         104.413    278.842
tau1                               65.717      6.959          75.625    183.561
tau2                              245.120     33.063         162.104    448.942
tauAch                            281.545    107.206         143.707    421.312
tauNor                            266.417    -53.564         132.692    420.138
beta                              229.035    128.799         158.427    415.078
h0                                448.190     22.628         195.157    644.364
mNor                              272.757     28.423         175.765    494.701
mAch                              393.948    190.590         210.387    595.705
