Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             147.970     -2.569         168.043    417.756
N                                 156.996     89.980         125.100    322.093
M                                 217.662    -32.777         177.392    459.849
k1                                365.963    -21.058         223.738    640.860
k2                                157.343     48.928         122.331    319.886
tau1                               75.397      2.535          83.628    210.763
tau2                              282.723     37.344         194.333    523.013
tauAch                            337.573    133.673         179.892    511.258
tauNor                            331.222    -65.882         168.627    511.196
beta                              284.873    166.438         181.379    499.247
h0                                553.822     34.028         228.282    786.230
mNor                              322.045     30.435         194.203    569.499
mAch                              451.941    215.787         244.582    687.827
