Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             138.982    -13.612         168.944    408.716
N                                 130.946     86.350         114.070    294.398
M                                 209.605    -27.873         161.288    439.183
k1                                361.347    -27.071         211.415    635.589
k2                                157.557     50.700         123.128    320.025
tau1                               74.276      6.382          82.037    209.804
tau2                              280.415     38.208         189.182    514.749
tauAch                            323.710    123.834         158.684    485.207
tauNor                            307.027    -62.333         157.096    482.598
beta                              262.642    147.803         185.216    474.994
h0                                513.812     24.135         224.242    739.463
mNor                              311.533     32.537         192.642    565.411
mAch                              448.723    218.687         234.959    680.749
