Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             127.344     -2.786         146.017    357.086
N                                 157.335     58.946         105.997    289.639
M                                 183.175    -28.474         148.944    384.100
k1                                288.567    -15.334         189.630    515.688
k2                                132.593     41.258          89.145    249.469
tau1                               62.300      6.150          66.328    165.346
tau2                              226.483     26.374         150.178    416.219
tauAch                            267.738    102.112         136.975    404.599
tauNor                            272.723    -43.311         132.369    415.619
beta                              232.471    139.452         153.742    407.974
h0                                459.222     37.470         188.203    643.120
mNor                              267.552     21.790         159.425    458.852
mAch                              370.050    162.588         183.737    556.680
