Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             131.509     -7.434         153.957    383.814
N                                 128.784     76.519         114.975    284.549
M                                 199.380    -25.932         157.163    418.710
k1                                339.788    -22.944         210.810    594.871
k2                                147.272     43.996         117.140    301.654
tau1                               70.068      3.699          78.252    197.209
tau2                              261.605     35.762         173.206    483.416
tauAch                            309.834    121.549         154.735    467.869
tauNor                            298.334    -60.193         147.054    463.291
beta                              252.549    144.881         167.580    454.120
h0                                494.177     25.663         203.906    710.156
mNor                              293.425     27.893         188.316    531.105
mAch                              420.182    202.664         221.969    638.414
