Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             141.802     -8.978         165.863    416.906
N                                 134.262     85.566         127.584    309.422
M                                 217.162    -27.439         172.094    456.743
k1                                375.204    -26.375         221.448    655.442
k2                                161.417     48.395         126.157    334.708
tau1                               76.427      3.365          86.275    218.294
tau2                              288.592     39.626         185.663    533.420
tauAch                            340.069    134.372         166.708    514.418
tauNor                            326.084    -67.452         168.058    507.005
beta                              275.618    157.219         191.556    496.985
h0                                538.260     25.339         231.996    776.745
mNor                              320.974     30.971         207.990    584.972
mAch                              461.515    224.716         245.941    703.059
