Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              38.901      3.561          39.815    102.758
N                                  60.733      8.969          42.173    115.305
M                                  56.889     -8.733          45.359    118.770
k1                                 84.951     -2.489          51.309    148.860
k2                                 41.854      7.367          27.549     76.985
tau1                               17.500     -1.136          17.847     46.358
tau2                               67.271      9.066          41.588    122.470
tauAch                             92.246     34.378          48.274    140.724
tauNor                             89.088    -15.604          43.884    135.472
beta                               75.959     46.580          49.996    132.201
h0                                151.801     11.802          61.992    212.678
mNor                               81.135      4.762          45.940    135.585
mAch                              110.640     47.539          53.260    164.401
