Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             149.925     -7.424         174.875    435.435
N                                 143.926     92.122         133.126    319.268
M                                 225.869    -27.470         177.897    470.747
k1                                389.614    -24.309         232.944    679.035
k2                                167.262     47.457         127.593    339.310
tau1                               81.036      0.373          85.585    221.006
tau2                              298.577     39.030         190.448    548.027
tauAch                            353.821    141.852         177.305    532.384
tauNor                            339.427    -68.688         169.279    525.498
beta                              283.882    162.927         188.688    511.836
h0                                556.604     20.878         238.617    801.488
mNor                              329.916     30.492         217.119    599.080
mAch                              475.343    229.365         243.333    722.381
