Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             145.106    -13.885         167.017    423.988
N                                 137.677     91.783         125.179    305.812
M                                 218.179    -28.297         171.227    455.606
k1                                379.485    -28.544         227.097    664.559
k2                                164.899     52.468         128.060    333.835
tau1                               77.484      4.914          87.446    218.288
tau2                              293.504     39.432         188.818    537.926
tauAch                            339.460    130.768         173.176    506.843
tauNor                            320.662    -65.728         165.432    503.030
beta                              272.820    153.350         183.119    493.887
h0                                533.756     21.493         226.014    769.466
mNor                              323.828     33.829         208.264    589.110
mAch                              467.165    228.731         232.054    709.711
