Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             109.099     -2.818         125.579    312.104
N                                 111.064     60.632          95.009    239.018
M                                 166.083    -19.943         127.619    346.777
k1                                282.539    -17.697         170.537    489.701
k2                                124.714     32.958          92.791    252.373
tau1                               57.544      0.774          67.576    163.749
tau2                              218.835     29.768         141.734    399.456
tauAch                            264.204    104.789         133.172    396.243
tauNor                            252.122    -51.864         128.616    387.888
beta                              212.202    122.444         141.678    378.832
h0                                413.432     20.848         179.465    594.852
mNor                              243.850     20.986         157.692    438.742
mAch                              346.564    166.257         188.986    526.422
