Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             143.717    -10.712         170.767    423.102
N                                 144.086     82.748         120.718    307.852
M                                 215.777    -30.913         166.560    453.645
k1                                361.725    -24.123         215.247    640.862
k2                                158.569     50.323         119.438    318.510
tau1                               76.215      7.149          80.950    209.551
tau2                              281.224     38.087         180.085    517.933
tauAch                            329.765    125.808         165.597    495.421
tauNor                            317.744    -61.173         161.262    496.946
beta                              271.163    155.206         194.715    487.500
h0                                533.170     30.452         219.959    761.560
mNor                              317.799     31.677         197.386    570.367
mAch                              453.878    217.825         239.792    687.367
