Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             143.347    -10.275         163.609    422.380
N                                 134.198     87.891         124.293    310.134
M                                 218.523    -28.120         173.646    459.143
k1                                377.995    -27.018         226.539    661.702
k2                                162.932     50.213         124.793    335.190
tau1                               77.446      3.918          85.522    219.306
tau2                              291.825     39.498         197.752    537.496
tauAch                            340.529    134.075         169.395    513.779
tauNor                            326.348    -67.017         166.644    508.558
beta                              276.320    157.176         189.152    498.732
h0                                539.688     24.818         230.989    778.439
mNor                              323.217     32.105         207.434    589.150
mAch                              464.754    226.898         251.722    708.206
