Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             158.119     -5.360         175.535    451.099
N                                 165.430     87.558         124.714    332.444
M                                 232.232    -30.398         182.365    482.421
k1                                386.835    -20.980         231.607    678.744
k2                                169.276     47.779         119.197    332.512
tau1                               83.121      2.350          86.005    218.285
tau2                              296.441     38.327         193.195    544.841
tauAch                            355.857    140.815         178.426    534.253
tauNor                            346.282    -64.868         160.390    533.929
beta                              290.326    169.074         198.484    519.959
h0                                572.998     28.712         242.627    815.666
mNor                              336.194     29.391         212.661    598.959
mAch                              478.692    225.146         247.631    722.933
