Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             142.343     -6.916         169.387    413.288
N                                 140.247     81.988         117.926    309.117
M                                 215.721    -28.167         163.721    453.261
k1                                369.129    -24.532         226.268    644.339
k2                                159.281     47.308         118.050    327.546
tau1                               75.634      3.086          87.992    214.340
tau2                              284.311     38.714         188.170    524.641
tauAch                            336.976    133.513         168.193    509.346
tauNor                            325.284    -65.968         162.859    503.576
beta                              274.280    157.193         189.592    492.424
h0                                535.565     27.308         231.574    770.860
mNor                              318.251     29.969         202.665    575.244
mAch                              454.239    219.809         237.423    691.291
