Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             133.106     -5.165         151.516    383.300
N                                 133.838     74.543         110.844    288.750
M                                 200.563    -26.510         158.693    421.138
k1                                341.871    -22.026         201.096    595.977
k2                                147.710     43.557         112.612    302.584
tau1                               70.152      2.491          78.750    198.426
tau2                              263.575     35.606         176.013    485.577
tauAch                            313.121    124.684         158.815    473.151
tauNor                            303.570    -61.085         145.991    468.468
beta                              255.421    146.780         170.291    457.392
h0                                498.290     26.421         210.049    716.668
mNor                              295.712     27.350         192.048    532.206
mAch                              420.053    202.643         219.985    639.293
