Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              59.043     -0.918          66.860    167.331
N                                  62.017     34.470          46.794    126.075
M                                  88.268     -9.134          64.008    181.699
k1                                150.600     -8.328          89.507    260.566
k2                                 66.501     15.860          47.751    129.749
tau1                               31.869     -1.656          34.046     83.304
tau2                              115.807     14.578          73.432    209.363
tauAch                            140.800     57.053          69.279    209.727
tauNor                            133.307    -26.743          66.305    205.011
beta                              111.513     65.262          75.108    198.854
h0                                218.865      6.571          94.394    313.439
mNor                              127.482     10.242          79.362    229.602
mAch                              182.261     86.711          96.086    276.303
