Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             152.402     -5.881         176.328    438.626
N                                 150.241     91.049         124.288    323.205
M                                 227.998    -27.758         173.536    474.293
k1                                390.719    -23.272         233.787    680.272
k2                                168.649     46.689         132.151    339.072
tau1                               81.687     -0.088          86.522    220.785
tau2                              299.570     38.923         198.359    548.712
tauAch                            356.976    143.506         177.397    536.682
tauNor                            343.307    -68.794         163.805    530.112
beta                              286.939    165.472         194.399    515.769
h0                                562.652     21.798         236.105    808.456
mNor                              332.164     29.727         215.579    600.504
mAch                              476.906    228.751         246.787    723.822
