Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             153.634     -4.596         173.486    439.334
N                                 153.962     89.941         126.881    326.359
M                                 229.393    -27.558         177.590    476.846
k1                                391.664    -22.543         255.870    680.744
k2                                170.346     45.573         129.389    340.416
tau1                               81.959     -0.542          88.916    221.515
tau2                              300.744     39.104         195.888    549.370
tauAch                            360.823    144.997         176.495    541.425
tauNor                            346.376    -69.262         168.361    533.728
beta                              289.394    167.351         195.979    518.868
h0                                567.065     22.947         244.355    814.308
mNor                              333.803     28.981         208.616    601.524
mAch                              477.995    228.301         242.005    724.736
