Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             137.370     -4.049         151.308    387.901
N                                 189.887    103.847         136.585    360.429
M                                 200.943    -32.117         162.768    423.338
k1                                313.717    -21.347         205.298    563.612
k2                                147.665     49.238          99.011    272.678
tau1                               67.923      4.490          70.605    176.646
tau2                              251.221     24.314         157.117    456.035
tauAch                            289.083    108.374         145.645    438.586
tauNor                            292.009    -60.492         145.381    450.720
beta                              284.152    183.239         184.745    482.652
h0                                558.149     65.845         227.476    773.977
mNor                              309.131     33.756         161.703    504.524
mAch                              402.997    167.764         203.982    609.093
