Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             130.626    -20.243         162.543    397.284
N                                 137.999     82.776          94.476    255.762
M                                 187.596    -39.506         147.090    401.502
k1                                278.655     -9.116         196.363    539.828
k2                                135.932     51.806          89.127    239.928
tau1                               64.618     20.892          63.925    164.467
tau2                              230.791     24.501         140.480    420.520
tauAch                            250.757     81.152         121.870    370.377
tauNor                            261.491    -35.892         138.234    406.053
beta                              211.859    117.247         150.967    391.101
h0                                430.139     40.316         175.907    606.122
mNor                              282.303     25.573         153.796    459.123
mAch                              384.747    161.799         190.073    573.000
