Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             147.163     -8.895         176.174    430.747
N                                 141.322     89.641         124.502    315.551
M                                 222.649    -28.262         166.518    465.907
k1                                382.966    -25.545         230.223    670.099
k2                                164.760     49.170         129.812    335.880
tau1                               79.430      2.484          86.782    219.393
tau2                              294.919     39.206         189.627    542.319
tauAch                            346.851    137.428         171.219    522.324
tauNor                            333.034    -67.259         171.293    517.401
beta                              280.661    160.632         192.872    505.830
h0                                549.468     23.512         244.220    790.788
mNor                              327.193     31.443         212.772    594.091
mAch                              470.126    227.966         246.371    715.174
