Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             123.599     -8.062         144.888    361.646
N                                 120.796     71.928         105.695    265.102
M                                 185.785    -26.266         145.898    391.136
k1                                316.871    -21.501         193.465    556.942
k2                                137.031     43.902         107.019    278.881
tau1                               65.703      4.571          74.008    184.260
tau2                              245.786     32.913         162.234    452.268
tauAch                            286.064    112.055         141.766    431.340
tauNor                            277.616    -54.767         135.354    431.348
beta                              234.659    133.748         161.558    422.142
h0                                458.836     24.888         198.912    659.102
mNor                              274.926     27.590         175.082    495.618
mAch                              391.523    190.045         204.568    596.215
