Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              44.801     -4.199          53.879    131.483
N                                  42.076     28.512          39.013     94.803
M                                  67.592     -9.367          53.144    141.386
k1                                118.117     -9.277          72.200    206.307
k2                                 51.725     16.916          38.874    103.826
tau1                               24.133      1.807          26.739     68.811
tau2                               91.926     12.199          58.664    167.518
tauAch                            104.621     40.031          50.914    156.053
tauNor                             99.364    -20.460          50.710    155.634
beta                               84.495     47.050          59.238    153.160
h0                                164.565      7.836          71.025    237.601
mNor                              100.372     10.742          66.196    183.207
mAch                              144.593     71.215          75.032    220.174
