Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             148.724     -3.061         172.372    423.218
N                                 150.623     82.884         122.378    323.970
M                                 225.741    -26.800         174.086    470.095
k1                                384.884    -23.624         236.937    665.719
k2                                169.365     44.506         123.288    342.894
tau1                               78.566      0.596          88.138    223.234
tau2                              298.314     40.000         200.744    542.844
tauAch                            358.876    143.632         181.239    537.810
tauNor                            343.340    -70.790         163.866    526.772
beta                              287.916    166.071         192.250    514.026
h0                                559.526     27.976         245.817    806.499
mNor                              331.075     28.315         218.523    595.728
mAch                              469.881    225.776         254.717    714.064
