Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             158.059    -17.004         189.107    468.696
N                                 153.364     99.400         125.007    311.745
M                                 227.932    -40.122         187.301    480.301
k1                                367.843    -18.675         236.415    673.589
k2                                167.707     60.248         112.709    309.100
tau1                               82.136     12.612          82.499    207.807
tau2                              294.106     33.769         190.989    531.929
tauAch                            326.802    119.183         163.525    486.822
tauNor                            321.722    -55.262         167.442    510.639
beta                              272.156    153.504         187.880    495.446
h0                                543.940     31.344         221.565    770.350
mNor                              335.068     34.812         202.098    581.412
mAch                              473.049    218.659         240.768    711.826
