Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             103.886    -11.364         114.079    280.869
N                                  95.813     65.068          81.799    208.404
M                                 145.755    -24.876         111.963    305.340
k1                                251.814    -15.664         151.234    435.511
k2                                106.959     35.704          81.786    214.761
tau1                               52.119      3.331          55.329    143.136
tau2                              193.772     27.656         132.167    358.169
tauAch                            227.568     87.342         115.163    342.811
tauNor                            220.334    -42.170         109.712    341.483
beta                              185.108    100.021         122.730    329.676
h0                                358.562     13.903         157.448    515.051
mNor                              214.849     25.447         130.879    385.555
mAch                              307.643    154.839         162.980    468.853
