Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             144.234     -6.288         162.990    417.617
N                                 140.137     84.083         127.484    313.931
M                                 219.704    -27.252         171.616    460.484
k1                                377.898    -25.092         221.454    657.041
k2                                163.881     46.740         125.771    336.931
tau1                               76.968      2.260          85.559    219.942
tau2                              291.452     39.571         189.086    535.495
tauAch                            346.183    137.869         171.043    521.738
tauNor                            331.978    -68.718         168.053    513.186
beta                              279.628    160.164         187.396    502.063
h0                                544.399     26.777         239.871    785.624
mNor                              323.996     29.810         207.892    587.132
mAch                              462.932    224.325         239.222    704.690
