Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              73.143     -4.623          81.585    214.844
N                                  69.077     44.191          62.066    159.033
M                                 111.736    -14.460          84.349    235.000
k1                                193.042    -13.561         120.938    337.305
k2                                 82.890     25.249          64.663    171.680
tau1                               39.374      1.834          45.783    112.405
tau2                              148.735     20.298          94.873    274.628
tauAch                            174.608     68.998          90.491    263.972
tauNor                            167.801    -34.562          87.144    260.735
beta                              141.730     80.668          98.876    255.460
h0                                276.404     13.273         119.989    399.021
mNor                              165.305     16.178         108.569    300.811
mAch                              237.218    115.777         125.609    361.541
