Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             157.323     -3.263         175.128    445.577
N                                 171.139     82.513         129.314    339.540
M                                 232.128    -31.038         177.714    481.981
k1                                390.748    -21.265         235.850    681.154
k2                                168.638     47.280         125.665    335.239
tau1                               82.461     -0.431          85.583    218.990
tau2                              300.193     38.120         194.978    549.800
tauAch                            359.837    144.987         182.567    541.526
tauNor                            351.871    -66.605         173.614    538.955
beta                              292.905    170.204         193.204    522.322
h0                                575.516     26.627         244.241    820.727
mNor                              336.951     29.468         214.415    601.071
mAch                              476.936    228.495         251.880    724.682
