Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             117.067     -6.556         134.881    342.214
N                                 113.133     69.150         100.200    255.041
M                                 178.722    -22.450         141.840    375.350
k1                                306.961    -20.934         187.735    535.797
k2                                132.877     38.857         100.518    273.576
tau1                               62.779      2.610          69.453    178.296
tau2                              236.271     32.432         152.110    435.983
tauAch                            280.165    110.511         141.983    423.035
tauNor                            268.453    -55.190         140.432    416.695
beta                              227.019    129.959         152.868    408.391
h0                                443.531     21.629         199.908    638.836
mNor                              263.583     24.903         171.729    478.587
mAch                              378.131    183.137         198.796    575.110
