Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             488.776    403.073         738.352   1773.961
N                                 146.296     29.530          94.504    271.083
M                                 134.661    -34.616         117.287    297.853
k1                                197.070      0.457         119.642    358.821
k2                                 82.777     27.759          63.005    169.745
tau1                               38.230     -5.451          40.226    105.195
tau2                              153.483     17.054         103.320    296.487
tauAch                            201.965     79.911         111.359    324.297
tauNor                            224.933    -42.896         108.877    339.494
beta                              178.218    107.774         116.349    311.674
h0                                347.890     20.840         151.077    503.915
mNor                              590.430   -378.345         705.587   1776.582
mAch                              257.067    108.922         132.374    391.135
