Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             150.275    -16.631         166.413    443.839
N                                 144.695     96.430         122.383    309.202
M                                 223.740    -28.523         173.483    463.784
k1                                380.225    -25.894         235.966    675.325
k2                                167.749     52.466         124.515    329.435
tau1                               81.939      7.075          82.763    216.256
tau2                              295.623     38.409         198.109    537.902
tauAch                            340.147    128.542         169.515    504.650
tauNor                            320.127    -61.960         168.399    506.132
beta                              274.651    155.003         191.566    497.782
h0                                541.177     22.360         233.299    774.536
mNor                              329.302     33.379         209.412    592.531
mAch                              476.854    227.263         249.009    717.185
