Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             130.927     -9.951         151.983    386.001
N                                 130.501     77.780         110.672    275.158
M                                 208.228    -43.207         159.233    426.688
k1                                322.586    -20.295         212.556    577.360
k2                                143.561     47.841         106.341    280.937
tau1                               67.237      6.612          73.269    182.527
tau2                              255.696     31.266         161.490    467.960
tauAch                            294.754    109.440         139.936    445.459
tauNor                            287.677    -54.213         148.718    451.276
beta                              244.204    138.866         163.427    439.148
h0                                519.651     63.861         208.241    707.127
mNor                              291.277     28.026         184.913    509.623
mAch                              425.623    217.080         213.168    618.916
