Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             156.977     -3.121         177.753    444.602
N                                 170.145     82.635         126.243    339.274
M                                 232.011    -30.787         182.208    482.087
k1                                391.380    -21.573         237.731    681.620
k2                                169.070     47.190         120.602    336.334
tau1                               82.292     -0.722          86.187    219.247
tau2                              300.633     38.248         188.888    550.530
tauAch                            360.350    145.445         181.219    542.886
tauNor                            352.617    -66.852         172.659    539.752
beta                              293.287    170.401         195.843    522.852
h0                                576.178     26.120         254.398    822.081
mNor                              336.946     29.277         202.516    601.804
mAch                              477.255    228.624         244.206    725.616
