Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             148.482    -11.753         172.173    434.618
N                                 140.889     94.918         125.819    312.133
M                                 222.885    -28.183         162.975    464.320
k1                                386.536    -26.325         226.500    676.735
k2                                166.665     50.728         122.283    335.395
tau1                               80.276      2.418          88.944    219.054
tau2                              298.122     38.866         193.050    544.971
tauAch                            347.143    136.134         175.098    518.868
tauNor                            330.064    -66.502         162.187    515.075
beta                              277.822    157.566         192.779    503.038
h0                                545.476     19.080         231.528    785.444
mNor                              327.480     32.697         209.250    595.443
mAch                              473.461    230.050         244.336    719.119
