"_Elapsed_time_","_HR_","_PULSE_","_ABP_","_ABP_Sys_","_ABP_Dias_","_ABP_Mean_","_CVP_","_NBP_","_NBP_Sys_","_NBP_Dias_","_NBP_Mean_","_RESP_","_SpO2_","_PVC_Rate_per_Minute_","_Rhythm_Status_","_Ectopic_Status_","_Ectopic_Count_"
"0.000","73.000","72.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.000",NA,"63005.000",NA,NA
"1.000","73.000","72.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.000",NA,"63005.000",NA,NA
"2.000","73.000","72.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.000",NA,"63005.000",NA,NA
"3.000","73.000","72.000",NA,"118.000","55.000","77.000",NA,NA,NA,NA,NA,NA,"100.000",NA,"63005.000",NA,NA
"4.000","73.000","72.000",NA,"118.000","55.000","76.000",NA,NA,NA,NA,NA,NA,"100.000",NA,"63005.000",NA,NA
"5.000","72.000","72.000",NA,"118.000","55.000","76.000",NA,NA,NA,NA,NA,NA,"100.000",NA,"63005.000",NA,NA
"6.000","72.000","73.000",NA,"118.000","55.000","76.000",NA,NA,NA,NA,NA,NA,"100.000",NA,"63005.000",NA,NA
"7.000","72.000","73.000",NA,"118.000","55.000","76.000",NA,NA,NA,NA,NA,NA,"100.000",NA,"63005.000",NA,NA
"8.000","72.000","73.000",NA,"118.000","55.000","75.000",NA,NA,NA,NA,NA,NA,"100.000",NA,"63005.000",NA,NA
"9.000","72.000","73.000",NA,"118.000","55.000","75.000",NA,NA,NA,NA,NA,NA,"100.000",NA,"63005.000",NA,NA
"10.000","71.000","73.000",NA,"117.000","55.000","74.000",NA,NA,NA,NA,NA,NA,"100.000","0.000","63004.000",NA,NA
"11.000","71.000","73.000",NA,"117.000","55.000","74.000",NA,NA,NA,NA,NA,NA,"100.000","0.000","63004.000",NA,NA
